ct_name,global_noise,TS_macro_avg_dice,TS_micro_avg_dice,TS_dice_right adrenal gland,TS_dice_left adrenal gland,TS_dice_bladder,TS_dice_duodenum,TS_dice_esophagus,TS_dice_gallbladder,TS_dice_heart,TS_dice_right kidney,TS_dice_left kidney,TS_dice_liver,TS_dice_pancreas,TS_dice_prostate,TS_dice_small bowel,TS_dice_spleen,TS_dice_stomach
07-14-2009-NA-CT-24459.nii.gz,10.94223033824855,0.7165501225543905,0.8880718235890548,0.4971302428256071,0.28817574843850957,0.9317453560302587,0.4466188538533771,0.6668876367252238,0.7497050205779903,0.9141401686566526,0.9575448241189554,0.9627162497830709,0.9592633289813755,0.8301100423589266,0.0,0.7146645423365255,0.9143081064186116,0.9152417172107733
08-04-2004-NA-CT-80302.nii.gz,12.092808743744879,0.8184448540719219,0.9371419482902605,0.6595778701630957,0.7221696327148808,0.9449888450799961,0.6580286777583187,0.7733497512355026,0.822669194219454,0.8281408589176998,0.958931590863497,0.9566870760605829,0.9694196171423938,0.8961371918542337,0.2541333625314793,0.9177576286079308,0.9647690687051461,0.9499124452246166
08-25-2004-NA-CT-14591.nii.gz,11.96213811975421,0.7524161874031734,0.8883672060985849,0.7709541381128097,0.6600606673407482,0.9475924935706465,0.3940444902051101,0.7871219417444297,0.8935380763986678,0.8489211656874548,0.963234458081129,0.963585258653872,0.9737444959450796,0.2434507697971027,0.41161290322580646,0.8262617850331049,0.9733537486948417,0.628766418556795
11-22-2005-NA-CT-47368.nii.gz,11.09772577968597,0.8115611968746077,0.8945097035303861,0.3567464721737752,0.3265344137096023,0.9398663240969913,0.7373226044203688,0.7446035052339697,0.8919046484552349,0.84679658066174,0.9345085319651228,0.9425565320692043,0.9601456712289153,0.8219211512722642,1.0,0.7736096580667754,0.9473041827825791,0.9495976769825715
10-11-2008-NA-CT-72580.nii.gz,7.984894647538331,0.6281593819060034,0.8354736453552369,0.18090452261306533,0.0,0.7045200187732409,0.6224505916959443,0.6328750256515494,0.8531936006127814,0.8272593283198398,0.9613677761218745,0.9363641816109878,0.956354151044156,0.24427695332615515,0.0,0.641457252680177,0.9243069109036612,0.9370604152366172
09-24-2006-NA-CT-48854.nii.gz,9.247694972355388,0.7377394715204042,0.916260455643943,0.5149677908298598,0.5230043255996855,0.9390656037974356,0.7084550538352391,0.4345303091754282,0.7735053989992099,0.8399113655990521,0.9338099333759433,0.9356293179575087,0.9652664706814508,0.7845059237809524,0.0,0.8500058663730472,0.9352866247928077,0.9281480880084436
06-20-2009-NA-CT-44238.nii.gz,10.733340146738447,0.8409902461236131,0.6135897131947867,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6148536918541951,1.0,1.0
06-27-2008-NA-CT-33294.nii.gz,9.412742545433156,0.7566305529445054,0.9336995948259357,0.5689235265465173,0.6327763953075008,0.9595149787043693,0.4398159263705482,0.5446718844069838,0.8794805194805195,0.8230288903599837,0.9695199477681179,0.965558391898564,0.9699399858631134,0.8871413503518071,0.0,0.8578072801283556,0.9661256483813592,0.8851535685998416
09-03-2009-NA-CT-81165.nii.gz,8.23050328942308,0.6281702517704523,0.8273139146202919,0.0,0.17225891677675034,0.8935831410419223,0.24897036509460255,0.7521660477958678,0.7098143844851823,0.9470950719335371,0.9189042505906847,0.9488371298940207,0.9484254336813369,0.6808772905611593,0.0,0.5149225313169511,0.9120515288060339,0.774647684578733
04-08-2008-NA-CT-61824.nii.gz,12.522786670420215,0.851077279728995,0.9262940522002011,0.7380029806259314,0.6698466780238501,0.8643012550563139,0.6996305645536981,0.8057597831611045,0.9268073709998935,0.8659118223360917,0.9636787112362637,0.9589006484214868,0.9669359478803501,0.8497948374705352,0.6699625391809587,0.8713207333939154,0.9695165609431022,0.9457887626514296
04-08-2008-NA-CT-01565.nii.gz,13.986993337374647,0.6554908545578435,0.8066789366304508,0.3526148969889065,0.0,0.8815614124599253,0.515067982864593,0.5277641702446474,0.7661047685776697,0.8408129635480239,0.9382358828313643,0.9359395430479507,0.9529652484457941,0.7486889605896134,0.0,0.5510417639069985,0.917923377044155,0.9036418478180116
07-03-2008-NA-CT-24100.nii.gz,10.54224466137791,0.5870330538691839,0.8374317065555754,0.0,0.20350404312668463,0.8603942020814246,0.16478942696518395,0.8019848272325536,0.5952122745712335,0.8720232921043537,0.0,0.9361128353319806,0.9490150898880444,0.5847620980014203,0.437174360838483,0.564920365933205,0.8996005032450903,0.9360024887180987
05-21-2009-NA-CT-55840.nii.gz,9.667478210393357,0.6862474533693755,0.8684600351433468,0.47168508287292815,0.146843853820598,0.9216600120992136,0.43295585097653044,0.5668338021279198,0.8648614381452635,0.9118176659452635,0.9314053251314391,0.9381120158767939,0.9517660718455235,0.734281626125747,0.0,0.6093203634359975,0.8944237628610698,0.917744929276346
03-22-2008-NA-CT-47778.nii.gz,10.182551670628914,0.7434013735544173,0.8820430837485372,0.5434100418410042,0.4741156169111303,0.9418307296533297,0.5126835781041389,0.5312097435296873,0.0,0.893706845531663,0.9560558137233987,0.9590438990543071,0.9580012826960421,0.8363685056239957,1.0,0.6858573977462193,0.9309181847382187,0.9278189641631238
10-14-2008-NA-CT-30494.nii.gz,9.109610880007658,0.6488237366164932,0.8153723095879145,0.31211180124223603,0.14023372287145242,0.6386944424960838,0.003016363773471081,0.4664873084571295,0.568177218036658,0.8840268047259627,0.9100394444528405,0.9115018397613948,0.880768352490023,0.7412736537296011,1.0,0.5325505492854757,0.8678732513610986,0.8756012965639719
